@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
1,0,0,185,45,4,0,11,2,0.00,0.00
0,0,0,186,94,12,0,120,5,0.00,0.00
0,0,0,139,44,1,0,16,1,0.00,0.00
0,5,1,88,84,3,0,23,5,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,87,19,4,0,3,0,0.00,0.00
0,0,0,44,34,7,0,6,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,1,1,489,100,15,0,16,1,0.00,0.00
0,0,0,73,20,1,0,0,0,0.00,0.00
0,0,0,594,39,2,0,9,0,0.00,0.00
0,0,0,290,61,3,0,14,1,0.00,0.00
0,0,0,297,108,11,0,13,4,0.00,0.00
0,2,0,152,32,1,0,65,3,0.00,0.00
1,0,0,610,56,2,0,6,0,0.00,0.00
0,1,3,0,0,0,0,0,0,0.00,0.00
1,1,0,172,51,5,0,25,2,0.00,0.00
1,1,2,103,124,9,0,7,0,0.00,0.00
1,0,0,390,46,1,0,12,0,0.00,0.00
0,4,4,157,33,2,0,19,4,0.00,0.00
0,2,0,184,48,1,0,83,0,0.00,0.00
0,1,0,510,98,4,0,17,3,0.00,0.00
0,2,0,29,22,3,0,5,0,0.00,0.00
0,0,0,168,13,2,0,14,0,0.00,0.00
1,1,1,276,49,5,0,3,0,0.00,0.00
3,3,0,447,90,15,0,7,2,0.00,0.00
0,0,0,60,28,4,0,21,0,0.00,0.00
1,2,0,131,38,7,0,10,0,0.00,0.00
1,1,0,582,22,2,0,28,4,0.00,0.00
0,0,0,327,351,16,0,165,1,0.00,0.00
0,0,1,420,36,4,0,7,1,0.00,0.00
0,3,0,608,82,9,0,9,2,0.00,0.00
0,0,0,895,42,3,0,52,0,0.00,0.00
0,0,0,0,6,0,0,25,0,0.00,0.00
0,3,0,251,44,2,0,7,0,0.00,0.00
0,0,0,115,65,9,0,2,0,0.00,0.00
